Gad_area,Dia_inc,Dia_mm,Insulation_code,Insulation_thk,Insulation_mat,Insulation_jac,Pipe_len,Total_area
0,68,1727.2,HI,80,MWB,SS_0.8,13.64,80.86
0,68,1727.2,HI,80,MWB,SS_0.8,11.92,70.68
0,24,610.0,HI,80,MWPS,SS_0.8,0.45,1.1
0,2,60.0,HI,40,MWPS,SS_0.6,0.44,0.19
0,68,1727.2,HI,80,MWB,SS_0.8,13.64,80.86
0,68,1727.2,HI,80,MWB,SS_0.8,15.41,91.35
0,24,610.0,HI,80,MWPS,SS_0.8,0.45,1.1
0,2,60.0,HI,40,MWPS,SS_0.6,0.44,0.19
0,76,1930.4,HI,50,MWB,SS_0.8,9.84,62.74
0,1,34.0,HI,30,MWPS,SS_0.6,4.02,1.19
0,1,34.0,HI,30,MWPS,SS_0.6,0.86,0.25
0,2,60.0,HI,30,MWPS,SS_0.6,0.21,0.08
0,1,34.0,HI,30,MWPS,SS_0.6,3.89,1.15
0,1,34.0,HI,30,MWPS,SS_0.6,0.98,0.29
0,2,60.0,HI,30,MWPS,SS_0.6,0.21,0.08
0,1,34.0,HI,30,MWPS,SS_0.6,3.56,1.05
0,2,60.0,HI,30,MWPS,SS_0.6,0.21,0.08
0,1,34.0,HI,30,MWPS,SS_0.6,0.98,0.29
0,1,34.0,HI,30,MWPS,SS_0.6,3.43,1.01
0,2,60.0,HI,30,MWPS,SS_0.6,0.21,0.08
0,1,34.0,HI,30,MWPS,SS_0.6,0.56,0.17
0,76,1930.4,HI,50,MWB,SS_0.8,9.62,61.38
0,76,1930.4,HI,50,MWB,SS_0.8,8.0,51.03
0,76,1930.4,HI,50,MWB,SS_0.8,13.84,88.29
0,40,1016.0,F,70,PIR,SS_0.8,3.72,13.51
0,36,914.0,F,70,PIR,SS_0.8,3.77,12.47
0,40,1016.0,F,70,PIR,SS_0.8,4.5,16.35
0,40,1016.0,F,70,PIR,SS_0.8,25.34,92.04
0,12,324.0,F,80,PIR,SS_0.8,6.7,10.19
0,12,324.0,F,80,PIR,SS_0.8,10.46,15.9
0,12,324.0,F,80,PIR,SS_0.8,10.56,16.06
0,12,324.0,F,80,PIR,SS_0.8,19.97,30.36
0,12,324.0,F,80,PIR,SS_0.8,7.75,11.78
0,16,406.0,F,80,PIR,SS_0.8,3.72,6.61
0,1,34.0,F,50,PIR,SS_0.6,0.3,0.12
0,16,406.0,F,80,PIR,SS_0.8,10.5,18.67
0,12,324.0,F,80,PIR,SS_0.8,1.5,2.28
0,16,406.0,F,80,PIR,SS_0.8,11.72,20.84
0,16,406.0,F,80,PIR,SS_0.8,13.5,24.01
0,16,406.0,F,80,PIR,SS_0.8,15.59,27.73
0,16,406.0,F,80,PIR,SS_0.8,2.72,4.83
0,60,1524.0,F,130,PIR,SS_0.8,6.81,38.17
0,6,168.0,F,90,PIR,SS_0.8,0.29,0.26
0,1,34.0,F,60,PIR,SS_0.6,0.3,0.14
0,1,34.0,F,60,PIR,SS_0.6,0.3,0.14
0,1,34.0,F,60,PIR,SS_0.6,0.3,0.14
0,1,34.0,F,60,PIR,SS_0.6,0.3,0.14
0,60,1524.0,F,130,PIR,SS_0.8,6.1,34.18
0,60,1524.0,F,130,PIR,SS_0.8,11.0,61.65
0,30,762.0,F,130,PIR,SS_0.8,1.3,4.17
0,60,1524.0,F,130,PIR,SS_0.8,11.0,61.65
0,60,1524.0,F,130,PIR,SS_0.8,28.38,159.07
0,40,1016.0,F,100,PIR,SS_0.8,3.21,12.24
0,36,914.0,F,100,PIR,SS_0.8,0.74,2.58
0,36,914.0,F,100,PIR,SS_0.8,4.99,17.46
0,36,914.0,F,100,PIR,SS_0.8,6.2,21.7
0,2,60.0,F,60,PIR,SS_0.6,0.21,0.12
0,1,34.0,F,50,PIR,SS_0.6,0.16,0.07
0,36,914.0,F,100,PIR,SS_0.8,8.0,28.0
0,36,914.0,F,100,PIR,SS_0.8,6.74,23.6
0,36,914.0,F,100,PIR,SS_0.8,11.09,38.81
0,36,914.0,F,100,PIR,SS_0.8,4.74,16.6
0,36,914.0,F,100,PIR,SS_0.8,5.64,19.75
0,36,914.0,F,100,PIR,SS_0.8,4.74,16.6
0,36,914.0,F,100,PIR,SS_0.8,5.64,19.75
0,10,273.0,F,80,PIR,SS_0.8,6.63,9.02
0,10,273.0,F,80,PIR,SS_0.8,22.25,30.27
0,30,762.0,F,100,PIR,SS_0.8,0.75,2.21
0,24,610.0,F,90,PIR,SS_0.8,25.05,62.16
0,18,456.0,F,110,PIR,SS_0.8,3.9,8.28
0,1,34.0,F,60,PIR,SS_0.6,1.47,0.71
0,18,456.0,F,110,PIR,SS_0.8,3.62,7.69
0,2,60.0,F,70,PIR,SS_0.6,1.72,1.08
0,24,610.0,E,50,MWPS,SS_0.8,21.38,47.7
0,24,610.0,E,50,MWPS,SS_0.8,21.38,47.7
0,24,610.0,E,50,MWPS,SS_0.8,21.51,47.97
0,16,406.0,E,30,MWPS,SS_0.8,0.36,0.52
0,10,273.0,E,30,MWPS,SS_0.8,1.55,1.62
0,6,168.0,HI,30,MWPS,SS_0.8,10.5,7.52
0,6,168.0,HI,30,MWPS,SS_0.8,10.5,7.52
0,6,168.0,HI,30,MWPS,SS_0.8,10.95,7.85
0,8,219.0,HI,40,MWPS,SS_0.8,1.77,1.66
0,4,114.0,HI,30,MWPS,SS_0.6,0.43,0.24
0,1,34.0,HI,30,MWPS,SS_0.6,2.27,0.67
0,8,219.0,HI,40,MWPS,SS_0.8,3.49,3.28
0,2,60.0,HI,30,MWPS,SS_0.6,0.76,0.33
0,1,34.0,HI,30,MWPS,SS_0.6,0.93,0.33
0,8,219.0,HI,40,MWPS,SS_0.8,1.77,1.66
0,1,34.0,HI,30,MWPS,SS_0.6,0.17,0.05
0,1,34.0,HI,30,MWPS,SS_0.6,0.55,0.16
0,8,219.0,HI,40,MWPS,SS_0.8,2.71,2.54
0,8,219.0,P,50,MMG_GCS,-,12.06,12.09
0,8,219.0,P,50,MMG_GCS,-,2.9,2.9
